position,driver,time,gap,lap
1, 1 9 FST | StarWrek,14:50.021,00:00.000,00:27.085
2, 2 9 VSR Dremet |,14:57.318,00:07.297,00:27.152
3, 3 9 VSR McVizn |,15:09.145,00:19.125,00:27.516
4,4 9 EBC | polruiz12 |,15:10.889,00:20.868,00:27.426
5, 5 8 QYD | muritopin |,15:15.263,00:25.242,00:27.473
6,Lo  6 g QYD | Bixon |,15:15.539,00:25.518,00:27.521
7, 7 9 EBC | Black Rebel |,15:18.424,00:28.403,00:27.470
8,8 8 PSR| DAONE996 |,14:54.811,00:04.790,00:27.781
9, 9 FST | Stonie,14:59.954,00:09.933,00:27.925
10,10 9 mttaandres |,15:15.052,00:25.032,00:28.025
11,11 9 cmemgu |,15:16.717,00:26.696,00:28.312
12,12 g Echo Seraph,15:15.000,00:24.979,00:28.153
